Material
PLA Basic
PLA Matte
PLA Silk+
PLA Silk Dual Color
PLA Basic Gradient
PLA Sparkle
PLA Metal
PLA Marble
PLA Galaxy
PLA Wood
PLA Glow
PLA Aero
PLA CMYK
PLA-CF
PETG HF
PETG Translucent
PETG-CF
ABS
ABS-GF
ASA
ASA-CF
ASA Aero
PC
TPU 85A
TPU 90A
TPU 95A HF
TPU for AMS
PAHT-CF
PET-CF
PA6-CF
PA6-GF
PVA
Support for PLA
Support for PA/PET
Support for PLA/PETG
Support for ABS
PLA
PLA Recycled
rPLA
PETG
PETG Recycled
PETG Carbon Fiber
PETG V0
PVB
ASA
PC Blend
PC Blend Carbon Fiber
PA11 Carbon Fiber
PP Carbon Fiber
Woodfill
PLA
PLA+
PLA-Matte
PLA-Silk
PLA-LW
PETG
ABS
ABS+
ASA
PolyLite PLA
PolyLite ASA
PolyLite LW-PLA
Panchroma Matte PLA
PolyMax PC
PolyFlex TPU95-HF
PolySonic PLA
PolyTerra PLA
PLA
PLA+
PLA Meta
PLA Matte
PLA High Speed
PLA High Speed Marble
PLA Silk
PLA Silk (Multi-Color)
PLA Rainbow
PLA Wood
PLA Carbon Fiber
PLA Marble
PLA Twinkling
PLA Glow in the Dark
PETG
PETG Rainbow
PETG Glow in the Dark
PETG High Speed Matte
PETG Carbon Fiber
ABS
TPU
TPU-Silk
ASA
Nylon (PA6-CF)
Nylon (PA12-CF)
PC-ABS
PLA
PET-G
PET-G Matt
PCTG
Industrial Recycled-PET-G
TPU
ABS
ASA-X
